1463437682.631 2016-05-17 00:28:02 CEST LOG:  could not bind IPv6 socket: Cannot assign requested address
1463437682.631 2016-05-17 00:28:02 CEST HINT:  Is another postmaster already running on port 5432? If not, wait a few seconds and retry.
1463437682.646 2016-05-17 00:28:02 CEST LOG:  database system was shut down at 2016-05-17 00:27:30 CEST
1463437682.647 2016-05-17 00:28:02 CEST LOG:  MultiXact member wraparound protections are now enabled
1463437682.647 2016-05-17 00:28:02 CEST LOG:  database system is ready to accept connections
1463437682.647 2016-05-17 00:28:02 CEST LOG:  autovacuum launcher started
1463437684.542 2016-05-17 00:28:04 CEST LOG:  checkpoint starting: immediate force wait flush-all
1463437684.547 2016-05-17 00:28:04 CEST LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.000 s, total=0.005 s; sync files=3, longest=0.000 s, average=0.000 s; distance=1 kB, estimate=1 kB
1463437684.657 2016-05-17 00:28:04 CEST LOG:  checkpoint starting: immediate force wait
1463437684.659 2016-05-17 00:28:04 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1 kB
1463437687.586 2016-05-17 00:28:07 CEST LOG:  checkpoint starting: immediate force wait
1463437687.590 2016-05-17 00:28:07 CEST LOG:  checkpoint complete: wrote 1 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.000 s, total=0.004 s; sync files=1, longest=0.000 s, average=0.000 s; distance=1 kB, estimate=1 kB
1463437687.692 2016-05-17 00:28:07 CEST LOG:  checkpoint starting: immediate force wait flush-all
1463437687.695 2016-05-17 00:28:07 CEST LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.000 s, total=0.003 s; sync files=3, longest=0.000 s, average=0.000 s; distance=2 kB, estimate=2 kB
1463437687.805 2016-05-17 00:28:07 CEST LOG:  checkpoint starting: immediate force wait
1463437687.807 2016-05-17 00:28:07 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1 kB
1463438587.784 2016-05-17 00:43:07 CEST LOG:  checkpoint starting: time
1463438591.975 2016-05-17 00:43:11 CEST LOG:  checkpoint complete: wrote 2121 buffers (1.6%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=4.168 s, sync=0.021 s, total=4.190 s; sync files=44, longest=0.015 s, average=0.000 s; distance=3294 kB, estimate=3294 kB
1463438591.975 2016-05-17 00:43:11 CEST LOG:  checkpoint starting: immediate force wait
1463438591.978 2016-05-17 00:43:11 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2965 kB
1463439492.063 2016-05-17 00:58:12 CEST LOG:  checkpoint starting: immediate force wait time
1463439492.066 2016-05-17 00:58:12 CEST LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.000 s, total=0.003 s; sync files=4, longest=0.000 s, average=0.000 s; distance=12 kB, estimate=2670 kB
1463440392.166 2016-05-17 01:13:12 CEST LOG:  checkpoint starting: time
1463440842.044 2016-05-17 01:20:42 CEST LOG:  checkpoint complete: wrote 70662 buffers (53.9%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=449.866 s, sync=0.005 s, total=449.877 s; sync files=21, longest=0.003 s, average=0.000 s; distance=1219615 kB, estimate=1219615 kB
1463441292.059 2016-05-17 01:28:12 CEST LOG:  checkpoint starting: time
1463441293.228 2016-05-17 01:28:13 CEST LOG:  checkpoint complete: wrote 71010 buffers (54.2%); 0 transaction log file(s) added, 0 removed, 74 recycled; write=0.953 s, sync=0.196 s, total=1.169 s; sync files=17, longest=0.196 s, average=0.011 s; distance=1221128 kB, estimate=1221128 kB
1463441293.228 2016-05-17 01:28:13 CEST LOG:  checkpoint starting: immediate force wait
1463441293.249 2016-05-17 01:28:13 CEST LOG:  checkpoint complete: wrote 1 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 75 recycled; write=0.001 s, sync=0.000 s, total=0.020 s; sync files=1, longest=0.000 s, average=0.000 s; distance=1865 kB, estimate=1099202 kB
1463442193.325 2016-05-17 01:43:13 CEST LOG:  checkpoint starting: immediate force wait time
1463442194.104 2016-05-17 01:43:14 CEST LOG:  checkpoint complete: wrote 58398 buffers (44.6%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.551 s, sync=0.226 s, total=0.779 s; sync files=12, longest=0.218 s, average=0.018 s; distance=395168 kB, estimate=1028798 kB
1463443093.205 2016-05-17 01:58:13 CEST LOG:  checkpoint starting: time
1463443543.078 2016-05-17 02:05:43 CEST LOG:  checkpoint complete: wrote 97468 buffers (74.4%); 0 transaction log file(s) added, 0 removed, 24 recycled; write=449.824 s, sync=0.020 s, total=449.872 s; sync files=20, longest=0.016 s, average=0.001 s; distance=2829748 kB, estimate=2829748 kB
1463443993.180 2016-05-17 02:13:13 CEST LOG:  checkpoint starting: time
1463443995.344 2016-05-17 02:13:15 CEST LOG:  checkpoint complete: wrote 79372 buffers (60.6%); 0 transaction log file(s) added, 0 removed, 173 recycled; write=1.917 s, sync=0.198 s, total=2.163 s; sync files=17, longest=0.138 s, average=0.011 s; distance=2777293 kB, estimate=2824503 kB
1463443995.344 2016-05-17 02:13:15 CEST LOG:  checkpoint starting: immediate force wait
1463443995.407 2016-05-17 02:13:15 CEST LOG:  checkpoint complete: wrote 59 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 169 recycled; write=0.002 s, sync=0.001 s, total=0.063 s; sync files=3, longest=0.000 s, average=0.000 s; distance=40491 kB, estimate=2546102 kB
1463444895.507 2016-05-17 02:28:15 CEST LOG:  checkpoint starting: time
1463444896.338 2016-05-17 02:28:16 CEST LOG:  checkpoint complete: wrote 57995 buffers (44.2%); 0 transaction log file(s) added, 0 removed, 3 recycled; write=0.811 s, sync=0.016 s, total=0.831 s; sync files=15, longest=0.009 s, average=0.001 s; distance=403594 kB, estimate=2331851 kB
