1462239019.706 2016-05-03 03:30:19 CEST LOG:  could not bind IPv6 socket: Cannot assign requested address
1462239019.706 2016-05-03 03:30:19 CEST HINT:  Is another postmaster already running on port 5432? If not, wait a few seconds and retry.
1462239019.719 2016-05-03 03:30:19 CEST LOG:  database system was shut down at 2016-05-03 03:29:56 CEST
1462239019.720 2016-05-03 03:30:19 CEST LOG:  MultiXact member wraparound protections are now enabled
1462239019.721 2016-05-03 03:30:19 CEST LOG:  database system is ready to accept connections
1462239019.721 2016-05-03 03:30:19 CEST LOG:  autovacuum launcher started
1462239048.214 2016-05-03 03:30:48 CEST LOG:  checkpoint starting: immediate force wait flush-all
1462239048.219 2016-05-03 03:30:48 CEST LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.000 s, total=0.005 s; sync files=3, longest=0.000 s, average=0.000 s; distance=1 kB, estimate=1 kB
1462239048.329 2016-05-03 03:30:48 CEST LOG:  checkpoint starting: immediate force wait
1462239048.331 2016-05-03 03:30:48 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1 kB
1462239948.590 2016-05-03 03:45:48 CEST LOG:  checkpoint starting: time
1462239952.653 2016-05-03 03:45:52 CEST LOG:  checkpoint complete: wrote 2121 buffers (1.6%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=4.036 s, sync=0.025 s, total=4.062 s; sync files=44, longest=0.025 s, average=0.000 s; distance=3294 kB, estimate=3294 kB
1462239952.653 2016-05-03 03:45:52 CEST LOG:  checkpoint starting: immediate force wait
1462239952.655 2016-05-03 03:45:52 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2965 kB
1462240852.736 2016-05-03 04:00:52 CEST LOG:  checkpoint starting: immediate force wait time
1462240852.740 2016-05-03 04:00:52 CEST LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.000 s, total=0.003 s; sync files=4, longest=0.000 s, average=0.000 s; distance=12 kB, estimate=2670 kB
1462241752.765 2016-05-03 04:15:52 CEST LOG:  checkpoint starting: time
1462242202.077 2016-05-03 04:23:22 CEST LOG:  checkpoint complete: wrote 72234 buffers (55.1%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=449.301 s, sync=0.005 s, total=449.311 s; sync files=21, longest=0.005 s, average=0.000 s; distance=1312089 kB, estimate=1312089 kB
1462242652.084 2016-05-03 04:30:52 CEST LOG:  checkpoint starting: time
1462242653.897 2016-05-03 04:30:53 CEST LOG:  checkpoint complete: wrote 72332 buffers (55.2%); 0 transaction log file(s) added, 0 removed, 80 recycled; write=1.375 s, sync=0.387 s, total=1.812 s; sync files=17, longest=0.386 s, average=0.022 s; distance=1302207 kB, estimate=1311101 kB
1462242653.897 2016-05-03 04:30:53 CEST LOG:  checkpoint starting: immediate force wait
1462242653.945 2016-05-03 04:30:53 CEST LOG:  checkpoint complete: wrote 501 buffers (0.4%); 0 transaction log file(s) added, 0 removed, 80 recycled; write=0.005 s, sync=0.004 s, total=0.048 s; sync files=7, longest=0.004 s, average=0.000 s; distance=13776 kB, estimate=1181368 kB
1462243553.970 2016-05-03 04:45:53 CEST LOG:  checkpoint starting: time
1462243554.774 2016-05-03 04:45:54 CEST LOG:  checkpoint complete: wrote 58521 buffers (44.6%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.439 s, sync=0.363 s, total=0.803 s; sync files=15, longest=0.331 s, average=0.024 s; distance=396068 kB, estimate=1102838 kB
1462243554.774 2016-05-03 04:45:54 CEST LOG:  checkpoint starting: immediate force wait
1462243554.785 2016-05-03 04:45:54 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 25 recycled; write=0.001 s, sync=0.000 s, total=0.011 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=992555 kB
1462244454.886 2016-05-03 05:00:54 CEST LOG:  checkpoint starting: time
1462244904.016 2016-05-03 05:08:24 CEST LOG:  checkpoint complete: wrote 100246 buffers (76.5%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=449.115 s, sync=0.002 s, total=449.130 s; sync files=20, longest=0.001 s, average=0.000 s; distance=3006887 kB, estimate=3006887 kB
1462245354.117 2016-05-03 05:15:54 CEST LOG:  checkpoint starting: time
1462245356.137 2016-05-03 05:15:56 CEST LOG:  checkpoint complete: wrote 82548 buffers (63.0%); 0 transaction log file(s) added, 0 removed, 183 recycled; write=1.787 s, sync=0.122 s, total=2.020 s; sync files=17, longest=0.121 s, average=0.007 s; distance=2971600 kB, estimate=3003358 kB
1462245356.137 2016-05-03 05:15:56 CEST LOG:  checkpoint starting: immediate force wait
1462245356.219 2016-05-03 05:15:56 CEST LOG:  checkpoint complete: wrote 632 buffers (0.5%); 0 transaction log file(s) added, 0 removed, 181 recycled; write=0.005 s, sync=0.005 s, total=0.082 s; sync files=7, longest=0.005 s, average=0.000 s; distance=32542 kB, estimate=2706276 kB
1462246256.319 2016-05-03 05:30:56 CEST LOG:  checkpoint starting: time
1462246257.162 2016-05-03 05:30:57 CEST LOG:  checkpoint complete: wrote 57568 buffers (43.9%); 0 transaction log file(s) added, 0 removed, 2 recycled; write=0.799 s, sync=0.040 s, total=0.843 s; sync files=17, longest=0.031 s, average=0.002 s; distance=403818 kB, estimate=2476031 kB
1462246257.162 2016-05-03 05:30:57 CEST LOG:  checkpoint starting: immediate force wait
1462246257.177 2016-05-03 05:30:57 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 25 recycled; write=0.001 s, sync=0.000 s, total=0.014 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2228428 kB
1462247157.278 2016-05-03 05:45:57 CEST LOG:  checkpoint starting: time
1462247607.078 2016-05-03 05:53:27 CEST LOG:  checkpoint complete: wrote 91207 buffers (69.6%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=449.768 s, sync=0.006 s, total=449.799 s; sync files=20, longest=0.005 s, average=0.000 s; distance=3840719 kB, estimate=3840719 kB
1462248057.180 2016-05-03 06:00:57 CEST LOG:  checkpoint starting: time
1462248057.338 2016-05-03 06:00:57 CEST FATAL:  terminating autovacuum process due to administrator command
1462248057.544 2016-05-03 06:00:57 CEST LOG:  checkpoint complete: wrote 94 buffers (0.1%); 0 transaction log file(s) added, 0 removed, 235 recycled; write=0.278 s, sync=0.000 s, total=0.364 s; sync files=0, longest=0.000 s, average=0.000 s; distance=3749756 kB, estimate=3831623 kB
1462248057.544 2016-05-03 06:00:57 CEST LOG:  checkpoint starting: immediate force wait
1462248057.644 2016-05-03 06:00:57 CEST LOG:  checkpoint complete: wrote 1 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 228 recycled; write=0.001 s, sync=0.000 s, total=0.100 s; sync files=1, longest=0.000 s, average=0.000 s; distance=4818 kB, estimate=3448942 kB
1462248057.719 2016-05-03 06:00:57 CEST LOG:  checkpoint starting: immediate force wait flush-all
1462248057.727 2016-05-03 06:00:57 CEST LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 1 recycled; write=0.002 s, sync=0.000 s, total=0.007 s; sync files=3, longest=0.000 s, average=0.000 s; distance=2 kB, estimate=3104048 kB
1462248057.838 2016-05-03 06:00:57 CEST LOG:  checkpoint starting: immediate force wait
1462248057.841 2016-05-03 06:00:57 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2793643 kB
1462248957.125 2016-05-03 06:15:57 CEST LOG:  checkpoint starting: time
