1464617649.658 2016-05-30 16:14:09 CEST LOG:  could not bind IPv6 socket: Cannot assign requested address
1464617649.658 2016-05-30 16:14:09 CEST HINT:  Is another postmaster already running on port 5432? If not, wait a few seconds and retry.
1464617649.673 2016-05-30 16:14:09 CEST LOG:  database system was shut down at 2016-05-30 16:13:12 CEST
1464617649.673 2016-05-30 16:14:09 CEST LOG:  MultiXact member wraparound protections are now enabled
1464617649.674 2016-05-30 16:14:09 CEST LOG:  database system is ready to accept connections
1464617649.674 2016-05-30 16:14:09 CEST LOG:  autovacuum launcher started
1464617706.731 2016-05-30 16:15:06 CEST LOG:  checkpoint starting: immediate force wait flush-all
1464617706.737 2016-05-30 16:15:06 CEST LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.000 s, total=0.005 s; sync files=3, longest=0.000 s, average=0.000 s; distance=1 kB, estimate=1 kB
1464617706.847 2016-05-30 16:15:06 CEST LOG:  checkpoint starting: immediate force wait
1464617706.849 2016-05-30 16:15:06 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1 kB
1464618606.618 2016-05-30 16:30:06 CEST LOG:  checkpoint starting: time
1464618611.755 2016-05-30 16:30:11 CEST LOG:  checkpoint complete: wrote 2121 buffers (1.6%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=5.118 s, sync=0.017 s, total=5.137 s; sync files=44, longest=0.017 s, average=0.000 s; distance=3294 kB, estimate=3294 kB
1464618611.755 2016-05-30 16:30:11 CEST LOG:  checkpoint starting: immediate force wait
1464618611.758 2016-05-30 16:30:11 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2965 kB
1464619511.850 2016-05-30 16:45:11 CEST LOG:  checkpoint starting: immediate force wait time
1464619511.853 2016-05-30 16:45:11 CEST LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.000 s, total=0.003 s; sync files=4, longest=0.000 s, average=0.000 s; distance=12 kB, estimate=2670 kB
1464620411.954 2016-05-30 17:00:11 CEST LOG:  checkpoint starting: time
1464620861.110 2016-05-30 17:07:41 CEST LOG:  checkpoint complete: wrote 70573 buffers (53.8%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=449.132 s, sync=0.005 s, total=449.155 s; sync files=21, longest=0.005 s, average=0.000 s; distance=1215521 kB, estimate=1215521 kB
1464621311.210 2016-05-30 17:15:11 CEST LOG:  checkpoint starting: time
1464621313.019 2016-05-30 17:15:13 CEST LOG:  checkpoint complete: wrote 70909 buffers (54.1%); 0 transaction log file(s) added, 0 removed, 74 recycled; write=1.576 s, sync=0.207 s, total=1.809 s; sync files=17, longest=0.207 s, average=0.012 s; distance=1214967 kB, estimate=1215466 kB
1464621313.019 2016-05-30 17:15:13 CEST LOG:  checkpoint starting: immediate force wait
1464621313.053 2016-05-30 17:15:13 CEST LOG:  checkpoint complete: wrote 33 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 74 recycled; write=0.002 s, sync=0.000 s, total=0.033 s; sync files=3, longest=0.000 s, average=0.000 s; distance=11470 kB, estimate=1095066 kB
1464622213.131 2016-05-30 17:30:13 CEST LOG:  checkpoint starting: immediate force wait time
1464622213.914 2016-05-30 17:30:13 CEST LOG:  checkpoint complete: wrote 58339 buffers (44.5%); 0 transaction log file(s) added, 0 removed, 1 recycled; write=0.561 s, sync=0.220 s, total=0.783 s; sync files=12, longest=0.201 s, average=0.018 s; distance=394675 kB, estimate=1025027 kB
1464623114.015 2016-05-30 17:45:14 CEST LOG:  checkpoint starting: time
1464623564.050 2016-05-30 17:52:44 CEST LOG:  checkpoint complete: wrote 97624 buffers (74.5%); 0 transaction log file(s) added, 0 removed, 24 recycled; write=449.999 s, sync=0.003 s, total=450.034 s; sync files=20, longest=0.003 s, average=0.000 s; distance=2838549 kB, estimate=2838549 kB
1464624013.974 2016-05-30 18:00:13 CEST LOG:  checkpoint starting: immediate force wait
1464624015.142 2016-05-30 18:00:15 CEST LOG:  checkpoint complete: wrote 78332 buffers (59.8%); 0 transaction log file(s) added, 0 removed, 173 recycled; write=1.059 s, sync=0.045 s, total=1.167 s; sync files=17, longest=0.042 s, average=0.002 s; distance=2783381 kB, estimate=2833032 kB
1464624913.218 2016-05-30 18:15:13 CEST LOG:  checkpoint starting: time
1464624916.117 2016-05-30 18:15:16 CEST LOG:  checkpoint complete: wrote 58091 buffers (44.3%); 0 transaction log file(s) added, 0 removed, 170 recycled; write=2.818 s, sync=0.018 s, total=2.899 s; sync files=15, longest=0.018 s, average=0.001 s; distance=403462 kB, estimate=2590075 kB
1464624916.117 2016-05-30 18:15:16 CEST LOG:  checkpoint starting: immediate force wait
1464624916.130 2016-05-30 18:15:16 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 25 recycled; write=0.001 s, sync=0.000 s, total=0.012 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2331068 kB
1464625816.232 2016-05-30 18:30:16 CEST LOG:  checkpoint starting: time
1464626266.028 2016-05-30 18:37:46 CEST LOG:  checkpoint complete: wrote 106896 buffers (81.6%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=449.765 s, sync=0.006 s, total=449.795 s; sync files=20, longest=0.005 s, average=0.000 s; distance=3515924 kB, estimate=3515924 kB
1464626716.129 2016-05-30 18:45:16 CEST LOG:  checkpoint starting: time
1464626716.363 2016-05-30 18:45:16 CEST LOG:  checkpoint complete: wrote 71 buffers (0.1%); 0 transaction log file(s) added, 0 removed, 214 recycled; write=0.151 s, sync=0.000 s, total=0.234 s; sync files=0, longest=0.000 s, average=0.000 s; distance=3483897 kB, estimate=3512721 kB
1464626716.363 2016-05-30 18:45:16 CEST LOG:  checkpoint starting: immediate force wait
1464626716.456 2016-05-30 18:45:16 CEST LOG:  checkpoint complete: wrote 1 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 213 recycled; write=0.001 s, sync=0.000 s, total=0.092 s; sync files=1, longest=0.000 s, average=0.000 s; distance=5177 kB, estimate=3161967 kB
1464626716.505 2016-05-30 18:45:16 CEST LOG:  checkpoint starting: immediate force wait flush-all
1464626716.509 2016-05-30 18:45:16 CEST LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.000 s, total=0.004 s; sync files=3, longest=0.000 s, average=0.000 s; distance=2 kB, estimate=2845770 kB
1464626716.620 2016-05-30 18:45:16 CEST LOG:  checkpoint starting: immediate force wait
1464626716.623 2016-05-30 18:45:16 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2561193 kB
1464627616.452 2016-05-30 19:00:16 CEST LOG:  checkpoint starting: time
1464627621.647 2016-05-30 19:00:21 CEST LOG:  checkpoint complete: wrote 2121 buffers (1.6%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=5.170 s, sync=0.022 s, total=5.194 s; sync files=44, longest=0.020 s, average=0.000 s; distance=3294 kB, estimate=2305403 kB
1464627621.647 2016-05-30 19:00:21 CEST LOG:  checkpoint starting: immediate force wait
1464627621.651 2016-05-30 19:00:21 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 1 recycled; write=0.001 s, sync=0.000 s, total=0.003 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2074863 kB
1464628521.738 2016-05-30 19:15:21 CEST LOG:  checkpoint starting: immediate force wait time
1464628521.742 2016-05-30 19:15:21 CEST LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.000 s, total=0.003 s; sync files=4, longest=0.000 s, average=0.000 s; distance=12 kB, estimate=1867378 kB
1464629421.761 2016-05-30 19:30:21 CEST LOG:  checkpoint starting: time
1464629871.021 2016-05-30 19:37:51 CEST LOG:  checkpoint complete: wrote 70626 buffers (53.9%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=449.249 s, sync=0.005 s, total=449.259 s; sync files=21, longest=0.003 s, average=0.000 s; distance=1217126 kB, estimate=1802353 kB
1464630321.034 2016-05-30 19:45:21 CEST LOG:  checkpoint starting: time
