1462966687.752 2016-05-11 13:38:07 CEST LOG:  could not bind IPv6 socket: Cannot assign requested address
1462966687.752 2016-05-11 13:38:07 CEST HINT:  Is another postmaster already running on port 5432? If not, wait a few seconds and retry.
1462966687.766 2016-05-11 13:38:07 CEST LOG:  database system was shut down at 2016-05-11 13:37:59 CEST
1462966687.767 2016-05-11 13:38:07 CEST LOG:  MultiXact member wraparound protections are now enabled
1462966687.768 2016-05-11 13:38:07 CEST LOG:  database system is ready to accept connections
1462966687.768 2016-05-11 13:38:07 CEST LOG:  autovacuum launcher started
1462966693.342 2016-05-11 13:38:13 CEST LOG:  checkpoint starting: immediate force wait flush-all
1462966693.347 2016-05-11 13:38:13 CEST LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.000 s, total=0.005 s; sync files=3, longest=0.000 s, average=0.000 s; distance=1 kB, estimate=1 kB
1462966693.456 2016-05-11 13:38:13 CEST LOG:  checkpoint starting: immediate force wait
1462966693.458 2016-05-11 13:38:13 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1 kB
1462966696.416 2016-05-11 13:38:16 CEST LOG:  checkpoint starting: immediate force wait
1462966696.420 2016-05-11 13:38:16 CEST LOG:  checkpoint complete: wrote 1 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.000 s, total=0.003 s; sync files=1, longest=0.000 s, average=0.000 s; distance=1 kB, estimate=1 kB
1462966696.522 2016-05-11 13:38:16 CEST LOG:  checkpoint starting: immediate force wait flush-all
1462966696.526 2016-05-11 13:38:16 CEST LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.000 s, total=0.003 s; sync files=3, longest=0.000 s, average=0.000 s; distance=2 kB, estimate=2 kB
1462966696.636 2016-05-11 13:38:16 CEST LOG:  checkpoint starting: immediate force wait
1462966696.638 2016-05-11 13:38:16 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1 kB
1462967596.521 2016-05-11 13:53:16 CEST LOG:  checkpoint starting: time
1462967600.721 2016-05-11 13:53:20 CEST LOG:  checkpoint complete: wrote 2121 buffers (1.6%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=4.181 s, sync=0.017 s, total=4.199 s; sync files=44, longest=0.013 s, average=0.000 s; distance=3294 kB, estimate=3294 kB
1462967600.721 2016-05-11 13:53:20 CEST LOG:  checkpoint starting: immediate force wait
