1464791550.734 2016-06-01 16:32:30 CEST LOG:  could not bind IPv6 socket: Cannot assign requested address
1464791550.734 2016-06-01 16:32:30 CEST HINT:  Is another postmaster already running on port 5432? If not, wait a few seconds and retry.
1464791550.749 2016-06-01 16:32:30 CEST LOG:  database system was shut down at 2016-06-01 16:32:14 CEST
1464791550.750 2016-06-01 16:32:30 CEST LOG:  MultiXact member wraparound protections are now enabled
1464791550.750 2016-06-01 16:32:30 CEST LOG:  database system is ready to accept connections
1464791550.750 2016-06-01 16:32:30 CEST LOG:  autovacuum launcher started
1464791560.719 2016-06-01 16:32:40 CEST LOG:  checkpoint starting: immediate force wait flush-all
1464791560.725 2016-06-01 16:32:40 CEST LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.000 s, total=0.006 s; sync files=3, longest=0.000 s, average=0.000 s; distance=1 kB, estimate=1 kB
1464791560.835 2016-06-01 16:32:40 CEST LOG:  checkpoint starting: immediate force wait
1464791560.838 2016-06-01 16:32:40 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1 kB
1464792460.741 2016-06-01 16:47:40 CEST LOG:  checkpoint starting: time
1464792464.919 2016-06-01 16:47:44 CEST LOG:  checkpoint complete: wrote 2121 buffers (1.6%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=4.156 s, sync=0.020 s, total=4.178 s; sync files=44, longest=0.020 s, average=0.000 s; distance=3294 kB, estimate=3294 kB
1464792464.919 2016-06-01 16:47:44 CEST LOG:  checkpoint starting: immediate force wait
1464792464.922 2016-06-01 16:47:44 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2965 kB
1464793365.011 2016-06-01 17:02:45 CEST LOG:  checkpoint starting: immediate force wait time
