1464533103.128 2016-05-29 16:45:03 CEST LOG:  could not bind IPv6 socket: Cannot assign requested address
1464533103.128 2016-05-29 16:45:03 CEST HINT:  Is another postmaster already running on port 5432? If not, wait a few seconds and retry.
1464533103.144 2016-05-29 16:45:03 CEST LOG:  database system was shut down at 2016-05-29 16:44:26 CEST
1464533103.145 2016-05-29 16:45:03 CEST LOG:  MultiXact member wraparound protections are now enabled
1464533103.145 2016-05-29 16:45:03 CEST LOG:  database system is ready to accept connections
1464533103.145 2016-05-29 16:45:03 CEST LOG:  autovacuum launcher started
1464533177.209 2016-05-29 16:46:17 CEST LOG:  checkpoint starting: immediate force wait flush-all
1464533177.213 2016-05-29 16:46:17 CEST LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.000 s, total=0.004 s; sync files=3, longest=0.000 s, average=0.000 s; distance=1 kB, estimate=1 kB
1464533177.323 2016-05-29 16:46:17 CEST LOG:  checkpoint starting: immediate force wait
1464533177.326 2016-05-29 16:46:17 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1 kB
1464534077.249 2016-05-29 17:01:17 CEST LOG:  checkpoint starting: time
1464534081.377 2016-05-29 17:01:21 CEST LOG:  checkpoint complete: wrote 2121 buffers (1.6%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=4.108 s, sync=0.019 s, total=4.128 s; sync files=44, longest=0.017 s, average=0.000 s; distance=3294 kB, estimate=3294 kB
1464534081.377 2016-05-29 17:01:21 CEST LOG:  checkpoint starting: immediate force wait
1464534081.380 2016-05-29 17:01:21 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2965 kB
1464534981.470 2016-05-29 17:16:21 CEST LOG:  checkpoint starting: time
1464534981.479 2016-05-29 17:16:21 CEST LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.007 s, sync=0.000 s, total=0.008 s; sync files=4, longest=0.000 s, average=0.000 s; distance=12 kB, estimate=2670 kB
1464534981.479 2016-05-29 17:16:21 CEST LOG:  checkpoint starting: immediate force wait
1464534981.481 2016-05-29 17:16:21 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2403 kB
1464535881.582 2016-05-29 17:31:21 CEST LOG:  checkpoint starting: time
1464536331.064 2016-05-29 17:38:51 CEST LOG:  checkpoint complete: wrote 70513 buffers (53.8%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=449.471 s, sync=0.004 s, total=449.482 s; sync files=21, longest=0.004 s, average=0.000 s; distance=1209028 kB, estimate=1209028 kB
1464536781.149 2016-05-29 17:46:21 CEST LOG:  checkpoint starting: time
1464536782.593 2016-05-29 17:46:22 CEST LOG:  checkpoint complete: wrote 70858 buffers (54.1%); 0 transaction log file(s) added, 0 removed, 74 recycled; write=1.180 s, sync=0.244 s, total=1.444 s; sync files=17, longest=0.155 s, average=0.014 s; distance=1209155 kB, estimate=1209155 kB
1464536782.593 2016-05-29 17:46:22 CEST LOG:  checkpoint starting: immediate force wait
1464536782.616 2016-05-29 17:46:22 CEST LOG:  checkpoint complete: wrote 20 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 74 recycled; write=0.002 s, sync=0.000 s, total=0.022 s; sync files=3, longest=0.000 s, average=0.000 s; distance=7499 kB, estimate=1088990 kB
1464537682.700 2016-05-29 18:01:22 CEST LOG:  checkpoint starting: time
1464537683.625 2016-05-29 18:01:23 CEST LOG:  checkpoint complete: wrote 58368 buffers (44.5%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.585 s, sync=0.339 s, total=0.925 s; sync files=15, longest=0.189 s, average=0.022 s; distance=394274 kB, estimate=1019518 kB
1464537683.626 2016-05-29 18:01:23 CEST LOG:  checkpoint starting: immediate force wait
