1462490418.028 2016-05-06 01:20:18 CEST LOG:  could not bind IPv6 socket: Cannot assign requested address
1462490418.028 2016-05-06 01:20:18 CEST HINT:  Is another postmaster already running on port 5432? If not, wait a few seconds and retry.
1462490418.042 2016-05-06 01:20:18 CEST LOG:  database system was shut down at 2016-05-06 01:19:59 CEST
1462490418.043 2016-05-06 01:20:18 CEST LOG:  MultiXact member wraparound protections are now enabled
1462490418.043 2016-05-06 01:20:18 CEST LOG:  database system is ready to accept connections
1462490418.043 2016-05-06 01:20:18 CEST LOG:  autovacuum launcher started
1462490434.106 2016-05-06 01:20:34 CEST LOG:  checkpoint starting: immediate force wait flush-all
1462490434.111 2016-05-06 01:20:34 CEST LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.000 s, total=0.005 s; sync files=3, longest=0.000 s, average=0.000 s; distance=1 kB, estimate=1 kB
1462490434.221 2016-05-06 01:20:34 CEST LOG:  checkpoint starting: immediate force wait
1462490434.223 2016-05-06 01:20:34 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1 kB
1462491334.426 2016-05-06 01:35:34 CEST LOG:  checkpoint starting: time
1462491338.618 2016-05-06 01:35:38 CEST LOG:  checkpoint complete: wrote 2121 buffers (1.6%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=4.163 s, sync=0.026 s, total=4.191 s; sync files=44, longest=0.026 s, average=0.000 s; distance=3294 kB, estimate=3294 kB
1462491338.618 2016-05-06 01:35:38 CEST LOG:  checkpoint starting: immediate force wait
1462491338.621 2016-05-06 01:35:38 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2965 kB
1462492238.688 2016-05-06 01:50:38 CEST LOG:  checkpoint starting: time
1462492238.701 2016-05-06 01:50:38 CEST LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.011 s, sync=0.000 s, total=0.012 s; sync files=4, longest=0.000 s, average=0.000 s; distance=12 kB, estimate=2670 kB
1462492238.701 2016-05-06 01:50:38 CEST LOG:  checkpoint starting: immediate force wait
