1464378167.714 2016-05-27 19:42:47 UTC 14614  [5748a337.3916:1] LOG:  database system was shut down at 2016-05-27 19:42:32 UTC
1464378167.716 2016-05-27 19:42:47 UTC 14614  [5748a337.3916:2] LOG:  MultiXact member wraparound protections are now enabled
1464378167.717 2016-05-27 19:42:47 UTC 14613  [5748a337.3915:1] LOG:  database system is ready to accept connections
1464378167.718 2016-05-27 19:42:47 UTC 14618  [5748a337.391a:1] LOG:  autovacuum launcher started
1464378199.114 2016-05-27 19:43:19 UTC 14615  [5748a337.3917:1] LOG:  checkpoint starting: immediate force wait flush-all
1464378199.216 2016-05-27 19:43:19 UTC 14615  [5748a337.3917:2] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.097 s, sync=0.000 s, total=0.101 s; sync files=3, longest=0.000 s, average=0.000 s; distance=1 kB, estimate=1 kB
1464378199.363 2016-05-27 19:43:19 UTC 14615  [5748a337.3917:3] LOG:  checkpoint starting: immediate force wait
1464378199.440 2016-05-27 19:43:19 UTC 14615  [5748a337.3917:4] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.075 s, sync=0.000 s, total=0.077 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1 kB
1464378799.543 2016-05-27 19:53:19 UTC 14615  [5748a337.3917:5] LOG:  checkpoint starting: time
1464379011.939 2016-05-27 19:56:51 UTC 14615  [5748a337.3917:6] LOG:  checkpoint complete: wrote 2123 buffers (0.1%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=212.392 s, sync=0.001 s, total=212.395 s; sync files=44, longest=0.000 s, average=0.000 s; distance=3310 kB, estimate=3310 kB
1464379106.017 2016-05-27 19:58:26 UTC 14615  [5748a337.3917:7] LOG:  checkpoint starting: immediate force wait
1464379106.081 2016-05-27 19:58:26 UTC 14615  [5748a337.3917:8] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.062 s, sync=0.000 s, total=0.064 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2979 kB
1464379706.181 2016-05-27 20:08:26 UTC 14615  [5748a337.3917:9] LOG:  checkpoint starting: time
1464379706.661 2016-05-27 20:08:26 UTC 14615  [5748a337.3917:10] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.477 s, sync=0.000 s, total=0.480 s; sync files=4, longest=0.000 s, average=0.000 s; distance=12 kB, estimate=2683 kB
1464380006.185 2016-05-27 20:13:26 UTC 14615  [5748a337.3917:11] LOG:  checkpoint starting: immediate force wait
1464380006.257 2016-05-27 20:13:26 UTC 14615  [5748a337.3917:12] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.070 s, sync=0.000 s, total=0.072 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2414 kB
1464380606.285 2016-05-27 20:23:26 UTC 14615  [5748a337.3917:13] LOG:  checkpoint starting: time
1464380906.193 2016-05-27 20:28:26 UTC 14615  [5748a337.3917:14] LOG:  checkpoint complete: wrote 63497 buffers (3.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=299.803 s, sync=0.099 s, total=299.907 s; sync files=21, longest=0.098 s, average=0.004 s; distance=785965 kB, estimate=785965 kB
1464381206.294 2016-05-27 20:33:26 UTC 14615  [5748a337.3917:15] LOG:  checkpoint starting: time
1464381506.211 2016-05-27 20:38:26 UTC 14615  [5748a337.3917:16] LOG:  checkpoint complete: wrote 62286 buffers (3.0%); 0 transaction log file(s) added, 0 removed, 48 recycled; write=299.787 s, sync=0.098 s, total=299.917 s; sync files=17, longest=0.097 s, average=0.005 s; distance=771459 kB, estimate=784514 kB
1464381806.294 2016-05-27 20:43:26 UTC 14615  [5748a337.3917:17] LOG:  checkpoint starting: time
1464381806.952 2016-05-27 20:43:26 UTC 14615  [5748a337.3917:18] LOG:  checkpoint complete: wrote 64312 buffers (3.1%); 0 transaction log file(s) added, 0 removed, 47 recycled; write=0.622 s, sync=0.001 s, total=0.658 s; sync files=16, longest=0.000 s, average=0.000 s; distance=794065 kB, estimate=794065 kB
1464381806.953 2016-05-27 20:43:26 UTC 14615  [5748a337.3917:19] LOG:  checkpoint starting: immediate force wait
1464381807.075 2016-05-27 20:43:27 UTC 14615  [5748a337.3917:20] LOG:  checkpoint complete: wrote 1 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 49 recycled; write=0.081 s, sync=0.000 s, total=0.121 s; sync files=1, longest=0.000 s, average=0.000 s; distance=729 kB, estimate=714731 kB
1464382406.172 2016-05-27 20:53:26 UTC 14615  [5748a337.3917:21] LOG:  checkpoint starting: time
1464382706.045 2016-05-27 20:58:26 UTC 14615  [5748a337.3917:22] LOG:  checkpoint complete: wrote 58005 buffers (2.8%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=299.869 s, sync=0.000 s, total=299.872 s; sync files=12, longest=0.000 s, average=0.000 s; distance=391058 kB, estimate=682364 kB
1464382707.305 2016-05-27 20:58:27 UTC 14615  [5748a337.3917:23] LOG:  checkpoint starting: immediate force wait
1464382707.377 2016-05-27 20:58:27 UTC 14615  [5748a337.3917:24] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 23 recycled; write=0.062 s, sync=0.000 s, total=0.072 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=614128 kB
1464383307.481 2016-05-27 21:08:27 UTC 14615  [5748a337.3917:25] LOG:  checkpoint starting: time
1464383607.155 2016-05-27 21:13:27 UTC 14615  [5748a337.3917:26] LOG:  checkpoint complete: wrote 107690 buffers (5.1%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=299.509 s, sync=0.132 s, total=299.673 s; sync files=20, longest=0.130 s, average=0.006 s; distance=3450146 kB, estimate=3450146 kB
1464383907.258 2016-05-27 21:18:27 UTC 14615  [5748a337.3917:27] LOG:  checkpoint starting: time
1464384207.238 2016-05-27 21:23:27 UTC 14615  [5748a337.3917:28] LOG:  checkpoint complete: wrote 108153 buffers (5.2%); 0 transaction log file(s) added, 0 removed, 211 recycled; write=299.755 s, sync=0.046 s, total=299.979 s; sync files=17, longest=0.044 s, average=0.002 s; distance=3362301 kB, estimate=3441362 kB
1464384507.307 2016-05-27 21:28:27 UTC 14615  [5748a337.3917:29] LOG:  checkpoint starting: time
1464384509.122 2016-05-27 21:28:29 UTC 14615  [5748a337.3917:30] LOG:  checkpoint complete: wrote 113897 buffers (5.4%); 0 transaction log file(s) added, 0 removed, 205 recycled; write=1.619 s, sync=0.000 s, total=1.815 s; sync files=18, longest=0.000 s, average=0.000 s; distance=3371972 kB, estimate=3434423 kB
1464384509.122 2016-05-27 21:28:29 UTC 14615  [5748a337.3917:31] LOG:  checkpoint starting: immediate force wait
1464384509.427 2016-05-27 21:28:29 UTC 14615  [5748a337.3917:32] LOG:  checkpoint complete: wrote 245 buffers (0.0%); 0 transaction log file(s) added, 12 removed, 194 recycled; write=0.081 s, sync=0.000 s, total=0.304 s; sync files=3, longest=0.000 s, average=0.000 s; distance=24975 kB, estimate=3093478 kB
1464385109.524 2016-05-27 21:38:29 UTC 14615  [5748a337.3917:33] LOG:  checkpoint starting: time
1464385409.017 2016-05-27 21:43:29 UTC 14615  [5748a337.3917:34] LOG:  checkpoint complete: wrote 59554 buffers (2.8%); 0 transaction log file(s) added, 2 removed, 0 recycled; write=299.488 s, sync=0.000 s, total=299.493 s; sync files=15, longest=0.000 s, average=0.000 s; distance=402782 kB, estimate=2824408 kB
