1462065834.295 2016-05-01 03:23:54 CEST LOG:  could not bind IPv6 socket: Cannot assign requested address
1462065834.295 2016-05-01 03:23:54 CEST HINT:  Is another postmaster already running on port 5432? If not, wait a few seconds and retry.
1462065834.308 2016-05-01 03:23:54 CEST LOG:  database system was shut down at 2016-05-01 03:23:20 CEST
1462065834.309 2016-05-01 03:23:54 CEST LOG:  MultiXact member wraparound protections are now enabled
1462065834.309 2016-05-01 03:23:54 CEST LOG:  database system is ready to accept connections
1462065834.309 2016-05-01 03:23:54 CEST LOG:  autovacuum launcher started
1462065850.806 2016-05-01 03:24:10 CEST LOG:  checkpoint starting: immediate force wait flush-all
1462065850.810 2016-05-01 03:24:10 CEST LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.000 s, total=0.004 s; sync files=3, longest=0.000 s, average=0.000 s; distance=1 kB, estimate=1 kB
1462065850.920 2016-05-01 03:24:10 CEST LOG:  checkpoint starting: immediate force wait
1462065850.923 2016-05-01 03:24:10 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1 kB
1462066750.334 2016-05-01 03:39:10 CEST LOG:  checkpoint starting: time
1462066755.378 2016-05-01 03:39:15 CEST LOG:  checkpoint complete: wrote 2121 buffers (1.6%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=5.023 s, sync=0.018 s, total=5.043 s; sync files=44, longest=0.018 s, average=0.000 s; distance=3294 kB, estimate=3294 kB
1462066755.378 2016-05-01 03:39:15 CEST LOG:  checkpoint starting: immediate force wait
1462066755.380 2016-05-01 03:39:15 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2965 kB
1462067655.467 2016-05-01 03:54:15 CEST LOG:  checkpoint starting: immediate force wait time
1462067655.471 2016-05-01 03:54:15 CEST LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.000 s, total=0.003 s; sync files=4, longest=0.000 s, average=0.000 s; distance=12 kB, estimate=2670 kB
1462068555.571 2016-05-01 04:09:15 CEST LOG:  checkpoint starting: time
1462069005.084 2016-05-01 04:16:45 CEST LOG:  checkpoint complete: wrote 72072 buffers (55.0%); 1 transaction log file(s) added, 0 removed, 0 recycled; write=449.462 s, sync=0.006 s, total=449.512 s; sync files=21, longest=0.006 s, average=0.000 s; distance=1296529 kB, estimate=1296529 kB
1462069455.185 2016-05-01 04:24:15 CEST LOG:  checkpoint starting: time
1462069456.608 2016-05-01 04:24:16 CEST LOG:  checkpoint complete: wrote 72128 buffers (55.0%); 0 transaction log file(s) added, 0 removed, 79 recycled; write=0.674 s, sync=0.709 s, total=1.422 s; sync files=17, longest=0.696 s, average=0.041 s; distance=1290027 kB, estimate=1295878 kB
1462069456.608 2016-05-01 04:24:16 CEST LOG:  checkpoint starting: immediate force wait
1462069456.635 2016-05-01 04:24:16 CEST LOG:  checkpoint complete: wrote 18 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 79 recycled; write=0.001 s, sync=0.000 s, total=0.027 s; sync files=2, longest=0.000 s, average=0.000 s; distance=7352 kB, estimate=1167026 kB
1462070356.734 2016-05-01 04:39:16 CEST LOG:  checkpoint starting: time
1462070357.526 2016-05-01 04:39:17 CEST LOG:  checkpoint complete: wrote 58503 buffers (44.6%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.249 s, sync=0.541 s, total=0.791 s; sync files=15, longest=0.541 s, average=0.036 s; distance=395590 kB, estimate=1089882 kB
1462070357.526 2016-05-01 04:39:17 CEST LOG:  checkpoint starting: immediate force wait
