1462321517.273 2016-05-04 02:25:17 CEST LOG:  could not bind IPv6 socket: Cannot assign requested address
1462321517.273 2016-05-04 02:25:17 CEST HINT:  Is another postmaster already running on port 5432? If not, wait a few seconds and retry.
1462321517.287 2016-05-04 02:25:17 CEST LOG:  database system was shut down at 2016-05-04 02:24:39 CEST
1462321517.287 2016-05-04 02:25:17 CEST LOG:  MultiXact member wraparound protections are now enabled
1462321517.288 2016-05-04 02:25:17 CEST LOG:  database system is ready to accept connections
1462321517.288 2016-05-04 02:25:17 CEST LOG:  autovacuum launcher started
1462321537.383 2016-05-04 02:25:37 CEST LOG:  checkpoint starting: immediate force wait flush-all
1462321537.389 2016-05-04 02:25:37 CEST LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.000 s, total=0.005 s; sync files=3, longest=0.000 s, average=0.000 s; distance=1 kB, estimate=1 kB
1462321537.498 2016-05-04 02:25:37 CEST LOG:  checkpoint starting: immediate force wait
1462321537.500 2016-05-04 02:25:37 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1 kB
1462322437.611 2016-05-04 02:40:37 CEST LOG:  checkpoint starting: time
1462322441.843 2016-05-04 02:40:41 CEST LOG:  checkpoint complete: wrote 2121 buffers (1.6%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=4.205 s, sync=0.025 s, total=4.231 s; sync files=44, longest=0.023 s, average=0.000 s; distance=3294 kB, estimate=3294 kB
1462322441.843 2016-05-04 02:40:41 CEST LOG:  checkpoint starting: immediate force wait
1462322441.845 2016-05-04 02:40:41 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2965 kB
1462323341.926 2016-05-04 02:55:41 CEST LOG:  checkpoint starting: immediate force wait time
1462323341.929 2016-05-04 02:55:41 CEST LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.003 s; sync files=4, longest=0.000 s, average=0.000 s; distance=12 kB, estimate=2670 kB
