1464536555.583 2016-05-29 15:42:35 UTC 11259  [574b0deb.2bfb:1] LOG:  database system was shut down at 2016-05-29 15:42:20 UTC
1464536555.590 2016-05-29 15:42:35 UTC 11259  [574b0deb.2bfb:2] LOG:  MultiXact member wraparound protections are now enabled
1464536555.591 2016-05-29 15:42:35 UTC 11258  [574b0deb.2bfa:1] LOG:  database system is ready to accept connections
1464536555.592 2016-05-29 15:42:35 UTC 11263  [574b0deb.2bff:1] LOG:  autovacuum launcher started
1464536657.802 2016-05-29 15:44:17 UTC 11260  [574b0deb.2bfc:1] LOG:  checkpoint starting: immediate force wait flush-all
1464536657.920 2016-05-29 15:44:17 UTC 11260  [574b0deb.2bfc:2] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.107 s, sync=0.000 s, total=0.117 s; sync files=3, longest=0.000 s, average=0.000 s; distance=1 kB, estimate=1 kB
1464536658.041 2016-05-29 15:44:18 UTC 11260  [574b0deb.2bfc:3] LOG:  checkpoint starting: immediate force wait
1464536658.106 2016-05-29 15:44:18 UTC 11260  [574b0deb.2bfc:4] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.063 s, sync=0.000 s, total=0.064 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1 kB
1464536663.127 2016-05-29 15:44:23 UTC 11260  [574b0deb.2bfc:5] LOG:  checkpoint starting: immediate force wait
1464536663.207 2016-05-29 15:44:23 UTC 11260  [574b0deb.2bfc:6] LOG:  checkpoint complete: wrote 1 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.077 s, sync=0.000 s, total=0.079 s; sync files=1, longest=0.000 s, average=0.000 s; distance=1 kB, estimate=1 kB
1464536664.379 2016-05-29 15:44:24 UTC 11260  [574b0deb.2bfc:7] LOG:  checkpoint starting: immediate force wait flush-all
1464536664.448 2016-05-29 15:44:24 UTC 11260  [574b0deb.2bfc:8] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.066 s, sync=0.000 s, total=0.069 s; sync files=3, longest=0.000 s, average=0.000 s; distance=2 kB, estimate=2 kB
1464536664.522 2016-05-29 15:44:24 UTC 11260  [574b0deb.2bfc:9] LOG:  checkpoint starting: immediate force wait
1464536664.589 2016-05-29 15:44:24 UTC 11260  [574b0deb.2bfc:10] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.065 s, sync=0.000 s, total=0.066 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1 kB
1464536676.882 2016-05-29 15:44:36 UTC 11260  [574b0deb.2bfc:11] LOG:  checkpoint starting: immediate force wait
