1464698282.799 2016-05-31 12:38:02 UTC 3336  [574d85aa.d08:1] LOG:  database system was shut down at 2016-05-31 12:37:50 UTC
1464698282.801 2016-05-31 12:38:02 UTC 3336  [574d85aa.d08:2] LOG:  MultiXact member wraparound protections are now enabled
1464698282.802 2016-05-31 12:38:02 UTC 3335  [574d85aa.d07:1] LOG:  database system is ready to accept connections
1464698282.802 2016-05-31 12:38:02 UTC 3340  [574d85aa.d0c:1] LOG:  autovacuum launcher started
1464698301.816 2016-05-31 12:38:21 UTC 3337  [574d85aa.d09:1] LOG:  checkpoint starting: immediate force wait flush-all
1464698301.919 2016-05-31 12:38:21 UTC 3337  [574d85aa.d09:2] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.099 s, sync=0.000 s, total=0.103 s; sync files=3, longest=0.000 s, average=0.000 s; distance=1 kB, estimate=1 kB
1464698302.049 2016-05-31 12:38:22 UTC 3337  [574d85aa.d09:3] LOG:  checkpoint starting: immediate force wait
1464698302.112 2016-05-31 12:38:22 UTC 3337  [574d85aa.d09:4] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.062 s, sync=0.000 s, total=0.063 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1 kB
1464698902.237 2016-05-31 12:48:22 UTC 3337  [574d85aa.d09:5] LOG:  checkpoint starting: time
1464699114.868 2016-05-31 12:51:54 UTC 3337  [574d85aa.d09:6] LOG:  checkpoint complete: wrote 2123 buffers (0.1%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=212.626 s, sync=0.002 s, total=212.630 s; sync files=44, longest=0.000 s, average=0.000 s; distance=3310 kB, estimate=3310 kB
1464699208.896 2016-05-31 12:53:28 UTC 3337  [574d85aa.d09:7] LOG:  checkpoint starting: immediate force wait
1464699208.952 2016-05-31 12:53:28 UTC 3337  [574d85aa.d09:8] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.054 s, sync=0.000 s, total=0.056 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2979 kB
1464699809.052 2016-05-31 13:03:29 UTC 3337  [574d85aa.d09:9] LOG:  checkpoint starting: time
1464699809.522 2016-05-31 13:03:29 UTC 3337  [574d85aa.d09:10] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.467 s, sync=0.000 s, total=0.469 s; sync files=4, longest=0.000 s, average=0.000 s; distance=12 kB, estimate=2683 kB
1464700109.063 2016-05-31 13:08:29 UTC 3337  [574d85aa.d09:11] LOG:  checkpoint starting: immediate force wait
1464700109.128 2016-05-31 13:08:29 UTC 3337  [574d85aa.d09:12] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.063 s, sync=0.000 s, total=0.065 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2414 kB
1464700709.229 2016-05-31 13:18:29 UTC 3337  [574d85aa.d09:13] LOG:  checkpoint starting: time
1464701009.116 2016-05-31 13:23:29 UTC 3337  [574d85aa.d09:14] LOG:  checkpoint complete: wrote 62861 buffers (3.0%); 1 transaction log file(s) added, 0 removed, 0 recycled; write=299.853 s, sync=0.002 s, total=299.887 s; sync files=21, longest=0.001 s, average=0.000 s; distance=743099 kB, estimate=743099 kB
1464701309.217 2016-05-31 13:28:29 UTC 3337  [574d85aa.d09:15] LOG:  checkpoint starting: time
1464701609.116 2016-05-31 13:33:29 UTC 3337  [574d85aa.d09:16] LOG:  checkpoint complete: wrote 59949 buffers (2.9%); 0 transaction log file(s) added, 0 removed, 45 recycled; write=299.852 s, sync=0.002 s, total=299.899 s; sync files=17, longest=0.001 s, average=0.000 s; distance=707327 kB, estimate=739522 kB
1464701909.217 2016-05-31 13:38:29 UTC 3337  [574d85aa.d09:17] LOG:  checkpoint starting: time
1464701909.803 2016-05-31 13:38:29 UTC 3337  [574d85aa.d09:18] LOG:  checkpoint complete: wrote 63421 buffers (3.0%); 0 transaction log file(s) added, 0 removed, 44 recycled; write=0.544 s, sync=0.001 s, total=0.586 s; sync files=17, longest=0.000 s, average=0.000 s; distance=753446 kB, estimate=753446 kB
1464701909.803 2016-05-31 13:38:29 UTC 3337  [574d85aa.d09:19] LOG:  checkpoint starting: immediate force wait
1464701909.911 2016-05-31 13:38:29 UTC 3337  [574d85aa.d09:20] LOG:  checkpoint complete: wrote 1 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 46 recycled; write=0.061 s, sync=0.000 s, total=0.107 s; sync files=1, longest=0.000 s, average=0.000 s; distance=446 kB, estimate=678146 kB
1464702509.921 2016-05-31 13:48:29 UTC 3337  [574d85aa.d09:21] LOG:  checkpoint starting: time
1464702809.064 2016-05-31 13:53:29 UTC 3337  [574d85aa.d09:22] LOG:  checkpoint complete: wrote 57913 buffers (2.8%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=299.140 s, sync=0.000 s, total=299.143 s; sync files=15, longest=0.000 s, average=0.000 s; distance=390851 kB, estimate=649417 kB
1464702810.077 2016-05-31 13:53:30 UTC 3337  [574d85aa.d09:23] LOG:  checkpoint starting: immediate force wait
1464702810.165 2016-05-31 13:53:30 UTC 3337  [574d85aa.d09:24] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 23 recycled; write=0.063 s, sync=0.000 s, total=0.088 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=584475 kB
1464703410.271 2016-05-31 14:03:30 UTC 3337  [574d85aa.d09:25] LOG:  checkpoint starting: time
