1462408008.070 2016-05-05 02:26:48 CEST LOG:  could not bind IPv6 socket: Cannot assign requested address
1462408008.070 2016-05-05 02:26:48 CEST HINT:  Is another postmaster already running on port 5432? If not, wait a few seconds and retry.
1462408008.083 2016-05-05 02:26:48 CEST LOG:  database system was shut down at 2016-05-05 02:26:38 CEST
1462408008.084 2016-05-05 02:26:48 CEST LOG:  MultiXact member wraparound protections are now enabled
1462408008.084 2016-05-05 02:26:48 CEST LOG:  database system is ready to accept connections
1462408008.084 2016-05-05 02:26:48 CEST LOG:  autovacuum launcher started
1462408022.299 2016-05-05 02:27:02 CEST LOG:  checkpoint starting: immediate force wait flush-all
1462408022.304 2016-05-05 02:27:02 CEST LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.000 s, total=0.005 s; sync files=3, longest=0.000 s, average=0.000 s; distance=1 kB, estimate=1 kB
1462408022.414 2016-05-05 02:27:02 CEST LOG:  checkpoint starting: immediate force wait
1462408022.416 2016-05-05 02:27:02 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1 kB
1462408922.642 2016-05-05 02:42:02 CEST LOG:  checkpoint starting: time
1462408926.677 2016-05-05 02:42:06 CEST LOG:  checkpoint complete: wrote 2121 buffers (1.6%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=4.008 s, sync=0.025 s, total=4.035 s; sync files=44, longest=0.018 s, average=0.000 s; distance=3294 kB, estimate=3294 kB
1462408926.677 2016-05-05 02:42:06 CEST LOG:  checkpoint starting: immediate force wait
1462408926.680 2016-05-05 02:42:06 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2965 kB
1462409826.761 2016-05-05 02:57:06 CEST LOG:  checkpoint starting: immediate force wait time
1462409826.764 2016-05-05 02:57:06 CEST LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.000 s, total=0.003 s; sync files=4, longest=0.000 s, average=0.000 s; distance=12 kB, estimate=2670 kB
1462410726.864 2016-05-05 03:12:06 CEST LOG:  checkpoint starting: time
1462411176.110 2016-05-05 03:19:36 CEST LOG:  checkpoint complete: wrote 72012 buffers (54.9%); 1 transaction log file(s) added, 0 removed, 0 recycled; write=449.195 s, sync=0.006 s, total=449.245 s; sync files=21, longest=0.005 s, average=0.000 s; distance=1293929 kB, estimate=1293929 kB
1462411626.150 2016-05-05 03:27:06 CEST LOG:  checkpoint starting: time
1462411627.911 2016-05-05 03:27:07 CEST LOG:  checkpoint complete: wrote 72137 buffers (55.0%); 0 transaction log file(s) added, 0 removed, 79 recycled; write=1.302 s, sync=0.417 s, total=1.761 s; sync files=17, longest=0.416 s, average=0.024 s; distance=1289252 kB, estimate=1293461 kB
1462411627.911 2016-05-05 03:27:07 CEST LOG:  checkpoint starting: immediate force wait
1462411627.936 2016-05-05 03:27:07 CEST LOG:  checkpoint complete: wrote 30 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 79 recycled; write=0.001 s, sync=0.000 s, total=0.025 s; sync files=2, longest=0.000 s, average=0.000 s; distance=12938 kB, estimate=1165409 kB
1462412528.033 2016-05-05 03:42:08 CEST LOG:  checkpoint starting: immediate force wait time
