1461798240.400 2016-04-28 01:04:00 CEST LOG:  could not bind IPv6 socket: Cannot assign requested address
1461798240.400 2016-04-28 01:04:00 CEST HINT:  Is another postmaster already running on port 5432? If not, wait a few seconds and retry.
1461798240.415 2016-04-28 01:04:00 CEST LOG:  database system was shut down at 2016-04-28 01:03:52 CEST
1461798240.416 2016-04-28 01:04:00 CEST LOG:  MultiXact member wraparound protections are now enabled
1461798240.416 2016-04-28 01:04:00 CEST LOG:  database system is ready to accept connections
1461798240.416 2016-04-28 01:04:00 CEST LOG:  autovacuum launcher started
1461798244.370 2016-04-28 01:04:04 CEST LOG:  checkpoint starting: immediate force wait flush-all
1461798244.375 2016-04-28 01:04:04 CEST LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.000 s, total=0.004 s; sync files=3, longest=0.000 s, average=0.000 s; distance=1 kB, estimate=1 kB
1461798244.484 2016-04-28 01:04:04 CEST LOG:  checkpoint starting: immediate force wait
1461798244.487 2016-04-28 01:04:04 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1 kB
1461799144.434 2016-04-28 01:19:04 CEST LOG:  checkpoint starting: time
1461799148.605 2016-04-28 01:19:08 CEST LOG:  checkpoint complete: wrote 2121 buffers (1.6%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=4.152 s, sync=0.018 s, total=4.171 s; sync files=44, longest=0.017 s, average=0.000 s; distance=3294 kB, estimate=3294 kB
1461799148.605 2016-04-28 01:19:08 CEST LOG:  checkpoint starting: immediate force wait
1461799148.608 2016-04-28 01:19:08 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2965 kB
1461800048.703 2016-04-28 01:34:08 CEST LOG:  checkpoint starting: time
1461800048.707 2016-04-28 01:34:08 CEST LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.000 s, total=0.004 s; sync files=4, longest=0.000 s, average=0.000 s; distance=12 kB, estimate=2670 kB
1461800048.708 2016-04-28 01:34:08 CEST LOG:  checkpoint starting: immediate force wait
1461800048.710 2016-04-28 01:34:08 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2403 kB
1461800948.794 2016-04-28 01:49:08 CEST LOG:  checkpoint starting: time
1461801398.076 2016-04-28 01:56:38 CEST LOG:  checkpoint complete: wrote 70320 buffers (53.6%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=449.257 s, sync=0.008 s, total=449.281 s; sync files=21, longest=0.007 s, average=0.000 s; distance=1199155 kB, estimate=1199155 kB
1461801848.104 2016-04-28 02:04:08 CEST LOG:  checkpoint starting: time
1461801849.809 2016-04-28 02:04:09 CEST LOG:  checkpoint complete: wrote 70732 buffers (54.0%); 0 transaction log file(s) added, 0 removed, 73 recycled; write=1.409 s, sync=0.272 s, total=1.704 s; sync files=17, longest=0.172 s, average=0.016 s; distance=1201841 kB, estimate=1201841 kB
1461801849.809 2016-04-28 02:04:09 CEST LOG:  checkpoint starting: immediate force wait
1461801849.831 2016-04-28 02:04:09 CEST LOG:  checkpoint complete: wrote 34 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 74 recycled; write=0.002 s, sync=0.000 s, total=0.021 s; sync files=2, longest=0.000 s, average=0.000 s; distance=11676 kB, estimate=1082824 kB
1461802749.931 2016-04-28 02:19:09 CEST LOG:  checkpoint starting: time
1461802750.745 2016-04-28 02:19:10 CEST LOG:  checkpoint complete: wrote 58344 buffers (44.5%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.453 s, sync=0.359 s, total=0.813 s; sync files=13, longest=0.182 s, average=0.027 s; distance=394605 kB, estimate=1014002 kB
1461802750.745 2016-04-28 02:19:10 CEST LOG:  checkpoint starting: immediate force wait
1461802750.754 2016-04-28 02:19:10 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 24 recycled; write=0.001 s, sync=0.000 s, total=0.009 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=912602 kB
1461803650.856 2016-04-28 02:34:10 CEST LOG:  checkpoint starting: time
1461804100.070 2016-04-28 02:41:40 CEST LOG:  checkpoint complete: wrote 95202 buffers (72.6%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=449.194 s, sync=0.008 s, total=449.214 s; sync files=20, longest=0.007 s, average=0.000 s; distance=2692988 kB, estimate=2692988 kB
1461804550.170 2016-04-28 02:49:10 CEST LOG:  checkpoint starting: time
1461804552.158 2016-04-28 02:49:12 CEST LOG:  checkpoint complete: wrote 94646 buffers (72.2%); 0 transaction log file(s) added, 0 removed, 165 recycled; write=1.511 s, sync=0.423 s, total=1.988 s; sync files=17, longest=0.275 s, average=0.024 s; distance=2639191 kB, estimate=2687608 kB
1461804552.158 2016-04-28 02:49:12 CEST LOG:  checkpoint starting: immediate force wait
1461804552.219 2016-04-28 02:49:12 CEST LOG:  checkpoint complete: wrote 45 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 161 recycled; write=0.002 s, sync=0.001 s, total=0.060 s; sync files=3, longest=0.001 s, average=0.000 s; distance=26613 kB, estimate=2421509 kB
1461805452.318 2016-04-28 03:04:12 CEST LOG:  checkpoint starting: time
1461805453.208 2016-04-28 03:04:13 CEST LOG:  checkpoint complete: wrote 58269 buffers (44.5%); 0 transaction log file(s) added, 0 removed, 1 recycled; write=0.863 s, sync=0.025 s, total=0.890 s; sync files=15, longest=0.020 s, average=0.001 s; distance=403476 kB, estimate=2219705 kB
1461805453.208 2016-04-28 03:04:13 CEST LOG:  checkpoint starting: immediate force wait
1461805453.222 2016-04-28 03:04:13 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 25 recycled; write=0.001 s, sync=0.000 s, total=0.014 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1997735 kB
1461806353.324 2016-04-28 03:19:13 CEST LOG:  checkpoint starting: time
1461806803.033 2016-04-28 03:26:43 CEST LOG:  checkpoint complete: wrote 107369 buffers (81.9%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=449.666 s, sync=0.017 s, total=449.708 s; sync files=20, longest=0.017 s, average=0.000 s; distance=3523380 kB, estimate=3523380 kB
1461807253.134 2016-04-28 03:34:13 CEST LOG:  checkpoint starting: time
1461807253.398 2016-04-28 03:34:13 CEST LOG:  checkpoint complete: wrote 70 buffers (0.1%); 0 transaction log file(s) added, 0 removed, 215 recycled; write=0.194 s, sync=0.000 s, total=0.263 s; sync files=0, longest=0.000 s, average=0.000 s; distance=3461558 kB, estimate=3517198 kB
