1463613013.220 2016-05-19 01:10:13 CEST LOG:  could not bind IPv6 socket: Cannot assign requested address
1463613013.220 2016-05-19 01:10:13 CEST HINT:  Is another postmaster already running on port 5432? If not, wait a few seconds and retry.
1463613013.235 2016-05-19 01:10:13 CEST LOG:  database system was shut down at 2016-05-19 01:09:24 CEST
1463613013.236 2016-05-19 01:10:13 CEST LOG:  MultiXact member wraparound protections are now enabled
1463613013.236 2016-05-19 01:10:13 CEST LOG:  database system is ready to accept connections
1463613013.236 2016-05-19 01:10:13 CEST LOG:  autovacuum launcher started
1463613019.611 2016-05-19 01:10:19 CEST LOG:  checkpoint starting: immediate force wait flush-all
1463613019.616 2016-05-19 01:10:19 CEST LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.000 s, total=0.004 s; sync files=3, longest=0.000 s, average=0.000 s; distance=1 kB, estimate=1 kB
1463613019.725 2016-05-19 01:10:19 CEST LOG:  checkpoint starting: immediate force wait
1463613019.728 2016-05-19 01:10:19 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1 kB
1463613919.562 2016-05-19 01:25:19 CEST LOG:  checkpoint starting: time
1463613923.756 2016-05-19 01:25:23 CEST LOG:  checkpoint complete: wrote 2121 buffers (1.6%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=4.175 s, sync=0.018 s, total=4.194 s; sync files=44, longest=0.014 s, average=0.000 s; distance=3294 kB, estimate=3294 kB
1463613923.756 2016-05-19 01:25:23 CEST LOG:  checkpoint starting: immediate force wait
1463613923.759 2016-05-19 01:25:23 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2965 kB
1463614823.823 2016-05-19 01:40:23 CEST LOG:  checkpoint starting: time
