1463268056.348 2016-05-15 01:20:56 CEST LOG:  could not bind IPv6 socket: Cannot assign requested address
1463268056.348 2016-05-15 01:20:56 CEST HINT:  Is another postmaster already running on port 5432? If not, wait a few seconds and retry.
1463268056.363 2016-05-15 01:20:56 CEST LOG:  database system was shut down at 2016-05-15 01:20:32 CEST
1463268056.364 2016-05-15 01:20:56 CEST LOG:  MultiXact member wraparound protections are now enabled
1463268056.364 2016-05-15 01:20:56 CEST LOG:  database system is ready to accept connections
1463268056.364 2016-05-15 01:20:56 CEST LOG:  autovacuum launcher started
1463268058.291 2016-05-15 01:20:58 CEST LOG:  checkpoint starting: immediate force wait flush-all
1463268058.297 2016-05-15 01:20:58 CEST LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.000 s, total=0.006 s; sync files=3, longest=0.000 s, average=0.000 s; distance=1 kB, estimate=1 kB
1463268058.406 2016-05-15 01:20:58 CEST LOG:  checkpoint starting: immediate force wait
1463268058.408 2016-05-15 01:20:58 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1 kB
1463268060.728 2016-05-15 01:21:00 CEST LOG:  checkpoint starting: immediate force wait
1463268060.732 2016-05-15 01:21:00 CEST LOG:  checkpoint complete: wrote 1 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.000 s, total=0.003 s; sync files=1, longest=0.000 s, average=0.000 s; distance=1 kB, estimate=1 kB
1463268060.834 2016-05-15 01:21:00 CEST LOG:  checkpoint starting: immediate force wait flush-all
1463268060.838 2016-05-15 01:21:00 CEST LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.000 s, total=0.003 s; sync files=3, longest=0.000 s, average=0.000 s; distance=2 kB, estimate=2 kB
1463268060.947 2016-05-15 01:21:00 CEST LOG:  checkpoint starting: immediate force wait
1463268060.949 2016-05-15 01:21:00 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1 kB
1463268960.916 2016-05-15 01:36:00 CEST LOG:  checkpoint starting: time
1463268965.054 2016-05-15 01:36:05 CEST LOG:  checkpoint complete: wrote 2121 buffers (1.6%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=4.118 s, sync=0.016 s, total=4.137 s; sync files=44, longest=0.012 s, average=0.000 s; distance=3294 kB, estimate=3294 kB
1463268965.054 2016-05-15 01:36:05 CEST LOG:  checkpoint starting: immediate force wait
1463268965.056 2016-05-15 01:36:05 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2965 kB
1463269865.144 2016-05-15 01:51:05 CEST LOG:  checkpoint starting: immediate force wait time
1463269865.148 2016-05-15 01:51:05 CEST LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.000 s, total=0.003 s; sync files=4, longest=0.000 s, average=0.000 s; distance=12 kB, estimate=2670 kB
1463270765.199 2016-05-15 02:06:05 CEST LOG:  checkpoint starting: time
1463271215.043 2016-05-15 02:13:35 CEST LOG:  checkpoint complete: wrote 70379 buffers (53.7%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=449.834 s, sync=0.003 s, total=449.844 s; sync files=21, longest=0.003 s, average=0.000 s; distance=1202055 kB, estimate=1202055 kB
1463271665.072 2016-05-15 02:21:05 CEST LOG:  checkpoint starting: time
1463271666.254 2016-05-15 02:21:06 CEST LOG:  checkpoint complete: wrote 70695 buffers (53.9%); 0 transaction log file(s) added, 0 removed, 73 recycled; write=0.948 s, sync=0.203 s, total=1.182 s; sync files=17, longest=0.202 s, average=0.011 s; distance=1203090 kB, estimate=1203090 kB
1463271666.254 2016-05-15 02:21:06 CEST LOG:  checkpoint starting: immediate force wait
1463271666.276 2016-05-15 02:21:06 CEST LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 74 recycled; write=0.001 s, sync=0.000 s, total=0.021 s; sync files=1, longest=0.000 s, average=0.000 s; distance=3120 kB, estimate=1083093 kB
1463272566.376 2016-05-15 02:36:06 CEST LOG:  checkpoint starting: time
1463272567.282 2016-05-15 02:36:07 CEST LOG:  checkpoint complete: wrote 58364 buffers (44.5%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.642 s, sync=0.262 s, total=0.906 s; sync files=13, longest=0.124 s, average=0.020 s; distance=394849 kB, estimate=1014269 kB
1463272567.283 2016-05-15 02:36:07 CEST LOG:  checkpoint starting: immediate force wait
1463272567.292 2016-05-15 02:36:07 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 24 recycled; write=0.001 s, sync=0.000 s, total=0.009 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=912842 kB
1463273467.394 2016-05-15 02:51:07 CEST LOG:  checkpoint starting: time
1463273917.040 2016-05-15 02:58:37 CEST LOG:  checkpoint complete: wrote 96046 buffers (73.3%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=449.623 s, sync=0.011 s, total=449.646 s; sync files=20, longest=0.007 s, average=0.000 s; distance=2744116 kB, estimate=2744116 kB
1463274367.067 2016-05-15 03:06:07 CEST LOG:  checkpoint starting: time
1463274368.860 2016-05-15 03:06:08 CEST LOG:  checkpoint complete: wrote 95540 buffers (72.9%); 0 transaction log file(s) added, 0 removed, 168 recycled; write=1.364 s, sync=0.382 s, total=1.793 s; sync files=17, longest=0.311 s, average=0.022 s; distance=2719968 kB, estimate=2741701 kB
1463274368.860 2016-05-15 03:06:08 CEST LOG:  checkpoint starting: immediate force wait
1463274368.923 2016-05-15 03:06:08 CEST LOG:  checkpoint complete: wrote 26 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 166 recycled; write=0.002 s, sync=0.000 s, total=0.062 s; sync files=3, longest=0.000 s, average=0.000 s; distance=13212 kB, estimate=2468852 kB
1463275269.023 2016-05-15 03:21:09 CEST LOG:  checkpoint starting: time
1463275269.835 2016-05-15 03:21:09 CEST LOG:  checkpoint complete: wrote 58173 buffers (44.4%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.791 s, sync=0.018 s, total=0.812 s; sync files=15, longest=0.018 s, average=0.001 s; distance=403312 kB, estimate=2262298 kB
1463275269.835 2016-05-15 03:21:09 CEST LOG:  checkpoint starting: immediate force wait
1463275269.848 2016-05-15 03:21:09 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 25 recycled; write=0.001 s, sync=0.000 s, total=0.012 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2036068 kB
1463276169.949 2016-05-15 03:36:09 CEST LOG:  checkpoint starting: time
1463276619.049 2016-05-15 03:43:39 CEST LOG:  checkpoint complete: wrote 107496 buffers (82.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=449.062 s, sync=0.013 s, total=449.100 s; sync files=20, longest=0.012 s, average=0.000 s; distance=3560039 kB, estimate=3560039 kB
1463277069.150 2016-05-15 03:51:09 CEST LOG:  checkpoint starting: time
1463277070.034 2016-05-15 03:51:10 CEST LOG:  checkpoint complete: wrote 496 buffers (0.4%); 0 transaction log file(s) added, 0 removed, 217 recycled; write=0.810 s, sync=0.000 s, total=0.883 s; sync files=0, longest=0.000 s, average=0.000 s; distance=3472049 kB, estimate=3551240 kB
1463277070.034 2016-05-15 03:51:10 CEST LOG:  checkpoint starting: immediate force wait
1463277070.118 2016-05-15 03:51:10 CEST LOG:  checkpoint complete: wrote 1 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 212 recycled; write=0.001 s, sync=0.000 s, total=0.083 s; sync files=1, longest=0.000 s, average=0.000 s; distance=37291 kB, estimate=3199845 kB
1463277070.298 2016-05-15 03:51:10 CEST LOG:  checkpoint starting: immediate force wait flush-all
1463277070.305 2016-05-15 03:51:10 CEST LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 3 recycled; write=0.002 s, sync=0.000 s, total=0.006 s; sync files=3, longest=0.000 s, average=0.000 s; distance=2 kB, estimate=2879861 kB
1463277070.412 2016-05-15 03:51:10 CEST LOG:  checkpoint starting: immediate force wait
1463277070.415 2016-05-15 03:51:10 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2591875 kB
1463277970.373 2016-05-15 04:06:10 CEST LOG:  checkpoint starting: time
1463277974.646 2016-05-15 04:06:14 CEST LOG:  checkpoint complete: wrote 2121 buffers (1.6%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=4.250 s, sync=0.020 s, total=4.272 s; sync files=44, longest=0.020 s, average=0.000 s; distance=3294 kB, estimate=2333017 kB
1463277974.646 2016-05-15 04:06:14 CEST LOG:  checkpoint starting: immediate force wait
